time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,CONTAINS ARTIFICIAL COLORS ,67030641,148.5,50
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,FERRERO_S.P.A,2.5G TO LESS THAN 5G TOTAL FAT PER SERVING ,53989320,148.4,23
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,MARS_INCORPORATED,CONTAINS ARTIFICIAL SWEETENERS ,57823810,148.3,15
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,MARS_INCORPORATED,CONTAINS NATURAL PRESERVATIVES ,57823810,148.3,15
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,MARS_INCORPORATED,CONTAINS HIGH FRUCTOSE CORN SYRUP ,57821914,148.3,14
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,MILK_CHOCOLATE,FERRERO_S.P.A,CONTAINS NATURAL SWEETENERS ,134659765,148.2,34
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,CHEWY,MARS_INCORPORATED,CONTAINS NATURAL FLAVORS ,93051742,148.2,19
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,CHEWY,MARS_INCORPORATED,NATURAL POSITIONING ,93051742,148.2,19
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,CONTAINS SOY ,68048343,148.2,56
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,1G TO LESS THAN 10G PROTEIN PER SERVING ,67669479,148.2,57
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,CONTAINS ADDED SUGAR ,67978470,148.1,50
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,FREE FROM ANTIBIOTICS ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,CONTAINS COCOA ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,CONTAINS DAIRY ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,HIGH LIKELIHOOD OF GMO INGREDIENTS ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,FREE FROM HORMONES ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,CONTAINS LACTOSE ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,FREE FROM MSG ,67967444,148.1,48
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,CHOCOLADEFABRIKEN_LINDT_&_SPRUNGLI_AG,CONTAINS ARTIFICIAL COLORS ,57342697,148.1,22
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,JELLY_BEAN,FERRARA_CANDY_COMPANY_INC,CONTAINS NATURAL COLORS ,55243908,148.1,82
LY,"CANDY,_GUM,_MINTS",MINTS,REGULAR,MINT,PRIVATE_LABEL,CONTAINS NATURAL FLAVORS ,47597229,148.1,178
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,FREE FROM CAFFEINE ,67861588,148,46
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,GUMMI,SMARTSWEETS_INC,FREE OF GLUTEN ,35162964,148,21
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,GUMMI,SMARTSWEETS_INC,FREE FROM GLUTEN ,35162964,148,21
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,MARS_INCORPORATED,FREE FROM ARTIFICIAL INGREDIENTS ,73547021,147.9,24
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,FERRARA_CANDY_COMPANY_INC,CALORIE PRESENCE ,35474360,147.9,39
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE OF GLUTEN ,62405483,147.7,50
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM GLUTEN ,62405483,147.7,50
